,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Team,Total DVOA,Prev. Year Rank,Weighted DVOA,Pass DVOA,Rush DVOA,Unadj. Total VOA,Unadj. Pass VOA,Unadj. Rush VOA,Variance,Schedule,,,,,,,,,
1,"GB
",,,,,,,,,,,,,,,,,,,
2,"KC
",,,,,,,,,,,,,,,,,,,
3,"TB
",,,,,,,,,,,,,,,,,,,
4,"TEN
",,,,,,,,,,,,,,,,,,,
5,"BUF
",,,,,,,,,,,,,,,,,,,
6,"SEA
",,,,,,,,,,,,,,,,,,,
7,"NO
",,,,,,,,,,,,,,,,,,,
8,"MIN
",,,,,,,,,,,,,,,,,,,
9,"CLE
",,,,,,,,,,,,,,,,,,,
10,"LAR
",,,,,,,,,,,,,,,,,,,
11,"BAL
",,,,,,,,,,,,,,,,,,,
12,"IND
",,,,,,,,,,,,,,,,,,,
13,"HOU
",,,,,,,,,,,,,,,,,,,
14,"LV
",,,,,,,,,,,,,,,,,,,
15,"LAC
",,,,,,,,,,,,,,,,,,,
16,"DET
",,,,,,,,,,,,,,,,,,,
17,"CAR
",,,,,,,,,,,,,,,,,,,
18,"MIA
",,,,,,,,,,,,,,,,,,,
19,"ARI
",,,,,,,,,,,,,,,,,,,
20,"SF
",,,,,,,,,,,,,,,,,,,
21,"ATL
",,,,,,,,,,,,,,,,,,,
22,"PIT
",,,,,,,,,,,,,,,,,,,
23,"NE
",,,,,,,,,,,,,,,,,,,
24,"DAL
",,,,,,,,,,,,,,,,,,,
25,"CHI
",,,,,,,,,,,,,,,,,,,
26,"NYG
",,,,,,,,,,,,,,,,,,,
27,"JAX
",,,,,,,,,,,,,,,,,,,
28,"PHI
",,,,,,,,,,,,,,,,,,,
29,"CIN
",,,,,,,,,,,,,,,,,,,
30,"DEN
",,,,,,,,,,,,,,,,,,,
31,"NYJ
",,,,,,,,,,,,,,,,,,,
32,"WAS
",,,,,,,,,,,,,,,,,,,
