,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,Team,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA,Offense DVOA,Defense DVOA,Special Teams DVOA,Estimated Wins,Unadj. Total VOA,Schedule,Pythagorean Wins,Variance,,,,,,,,,,
1,"NO
",,,,,,,,,,,,,,,,,,,,,,
2,"TB
",,,,,,,,,,,,,,,,,,,,,,
3,"GB
",,,,,,,,,,,,,,,,,,,,,,
4,"BUF
",,,,,,,,,,,,,,,,,,,,,,
5,"SEA
",,,,,,,,,,,,,,,,,,,,,,
6,"KC
",,,,,,,,,,,,,,,,,,,,,,
7,"BAL
",,,,,,,,,,,,,,,,,,,,,,
8,"PIT
",,,,,,,,,,,,,,,,,,,,,,
9,"LAR
",,,,,,,,,,,,,,,,,,,,,,
10,"IND
",,,,,,,,,,,,,,,,,,,,,,
11,"SF
",,,,,,,,,,,,,,,,,,,,,,
12,"MIA
",,,,,,,,,,,,,,,,,,,,,,
13,"ARI
",,,,,,,,,,,,,,,,,,,,,,
14,"TEN
",,,,,,,,,,,,,,,,,,,,,,
15,"CHI
",,,,,,,,,,,,,,,,,,,,,,
16,"WAS
",,,,,,,,,,,,,,,,,,,,,,
17,"ATL
",,,,,,,,,,,,,,,,,,,,,,
18,"CLE
",,,,,,,,,,,,,,,,,,,,,,
19,"LV
",,,,,,,,,,,,,,,,,,,,,,
20,"MIN
",,,,,,,,,,,,,,,,,,,,,,
21,"CAR
",,,,,,,,,,,,,,,,,,,,,,
22,"NE
",,,,,,,,,,,,,,,,,,,,,,
23,"DAL
",,,,,,,,,,,,,,,,,,,,,,
24,"HOU
",,,,,,,,,,,,,,,,,,,,,,
25,"NYG
",,,,,,,,,,,,,,,,,,,,,,
26,"LAC
",,,,,,,,,,,,,,,,,,,,,,
27,"DET
",,,,,,,,,,,,,,,,,,,,,,
28,"PHI
",,,,,,,,,,,,,,,,,,,,,,
29,"DEN
",,,,,,,,,,,,,,,,,,,,,,
30,"CIN
",,,,,,,,,,,,,,,,,,,,,,
31,"JAX
",,,,,,,,,,,,,,,,,,,,,,
32,"NYJ
",,,,,,,,,,,,,,,,,,,,,,
