,Tm,W,L,W-L_perc,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Year,T
0,Philadelphia Eagles*,10,6,.625,398,328,70,4.4,-1.0,3.4,3.2,0.2,2006,
1,Dallas Cowboys+,9,7,.563,425,350,75,4.7,-1.0,3.7,5.0,-1.3,2006,
2,New York Giants+,8,8,.500,355,362,-7,-0.4,0.5,0.1,1.2,-1.1,2006,
3,Washington Redskins,5,11,.313,307,376,-69,-4.3,0.3,-4.0,-2.1,-2.0,2006,
4,Chicago Bears*,13,3,.813,427,255,172,10.8,-2.9,7.9,4.9,3.0,2006,
5,Green Bay Packers,8,8,.500,301,366,-65,-4.1,-0.4,-4.4,-2.3,-2.1,2006,
6,Minnesota Vikings,6,10,.375,282,327,-45,-2.8,-1.3,-4.1,-3.7,-0.4,2006,
7,Detroit Lions,3,13,.188,305,398,-93,-5.8,-0.5,-6.4,-1.8,-4.6,2006,
8,New Orleans Saints*,10,6,.625,413,322,91,5.7,-1.6,4.0,4.9,-0.9,2006,
9,Carolina Panthers,8,8,.500,270,305,-35,-2.2,-0.5,-2.7,-4.2,1.5,2006,
10,Atlanta Falcons,7,9,.438,292,328,-36,-2.3,-0.8,-3.0,-2.8,-0.2,2006,
11,Tampa Bay Buccaneers,4,12,.250,211,353,-142,-8.9,0.9,-7.9,-7.2,-0.8,2006,
12,Seattle Seahawks*,9,7,.563,335,341,-6,-0.4,-3.2,-3.6,-1.7,-1.9,2006,
13,St. Louis Rams,8,8,.500,367,381,-14,-0.9,-3.1,-4.0,0.8,-4.7,2006,
14,San Francisco 49ers,7,9,.438,298,412,-114,-7.1,-1.6,-8.7,-3.5,-5.2,2006,
15,Arizona Cardinals,5,11,.313,314,389,-75,-4.7,-2.2,-6.9,-2.6,-4.3,2006,
0,Dallas Cowboys*,13,3,.813,455,325,130,8.1,1.3,9.5,7.8,1.7,2007,
1,New York Giants+,10,6,.625,373,351,22,1.4,1.9,3.3,2.8,0.4,2007,
2,Washington Redskins+,9,7,.563,334,310,24,1.5,3.0,4.5,0.2,4.3,2007,
3,Philadelphia Eagles,8,8,.500,336,300,36,2.3,3.0,5.3,0.1,5.1,2007,
4,Green Bay Packers*,13,3,.813,435,291,144,9.0,0.0,9.0,5.7,3.3,2007,
5,Minnesota Vikings,8,8,.500,365,311,54,3.4,0.4,3.8,1.4,2.4,2007,
6,Detroit Lions,7,9,.438,346,444,-98,-6.1,2.6,-3.6,1.4,-5.0,2007,
7,Chicago Bears,7,9,.438,334,348,-14,-0.9,2.1,1.2,-0.2,1.4,2007,
8,Tampa Bay Buccaneers*,9,7,.563,334,270,64,4.0,-2.8,1.2,-2.3,3.6,2007,
9,Carolina Panthers,7,9,.438,267,347,-80,-5.0,-0.8,-5.8,-5.7,-0.1,2007,
10,New Orleans Saints,7,9,.438,379,388,-9,-0.6,-2.0,-2.5,1.9,-4.5,2007,
11,Atlanta Falcons,4,12,.250,259,414,-155,-9.7,-0.9,-10.6,-5.8,-4.8,2007,
12,Seattle Seahawks*,10,6,.625,393,291,102,6.4,-4.6,1.8,0.8,0.9,2007,
13,Arizona Cardinals,8,8,.500,404,399,5,0.3,-4.3,-3.9,1.9,-5.9,2007,
14,San Francisco 49ers,5,11,.313,219,364,-145,-9.1,-2.9,-11.9,-9.9,-2.0,2007,
15,St. Louis Rams,3,13,.188,263,438,-175,-10.9,-2.0,-13.0,-6.5,-6.5,2007,
0,New York Giants*,12,4,.750,427,294,133,8.3,0.1,8.4,5.5,2.8,2008,0
1,Philadelphia Eagles+,9,6,.594,416,289,127,7.9,-0.1,7.8,4.7,3.2,2008,1
2,Dallas Cowboys,9,7,.563,362,365,-3,-0.2,0.8,0.6,1.7,-1.2,2008,0
3,Washington Redskins,8,8,.500,265,296,-31,-1.9,0.2,-1.8,-5.8,4.1,2008,0
4,Minnesota Vikings*,10,6,.625,379,333,46,2.9,1.2,4.0,1.1,2.9,2008,0
5,Chicago Bears,9,7,.563,375,350,25,1.6,0.5,2.1,1.1,1.0,2008,0
6,Green Bay Packers,6,10,.375,419,380,39,2.4,0.5,2.9,4.1,-1.2,2008,0
7,Detroit Lions,0,16,.000,268,517,-249,-15.6,2.5,-13.1,-4.0,-9.1,2008,0
8,Carolina Panthers*,12,4,.750,414,329,85,5.3,0.3,5.6,2.8,2.9,2008,0
9,Atlanta Falcons+,11,5,.688,391,325,66,4.1,-0.3,3.8,1.3,2.5,2008,0
10,Tampa Bay Buccaneers,9,7,.563,361,323,38,2.4,-0.1,2.3,-0.6,2.9,2008,0
11,New Orleans Saints,8,8,.500,463,393,70,4.4,-0.3,4.0,6.8,-2.8,2008,0
12,Arizona Cardinals*,9,7,.563,427,426,1,0.1,-1.9,-1.9,4.1,-6.0,2008,0
13,San Francisco 49ers,7,9,.438,339,381,-42,-2.6,-2.7,-5.3,-2.9,-2.4,2008,0
14,Seattle Seahawks,4,12,.250,294,392,-98,-6.1,-1.5,-7.6,-4.9,-2.8,2008,0
15,St. Louis Rams,2,14,.125,232,465,-233,-14.6,-0.5,-15.1,-8.1,-7.0,2008,0
0,Dallas Cowboys*,11,5,.688,361,250,111,6.9,0.2,7.1,0.4,6.7,2009,
1,Philadelphia Eagles+,11,5,.688,429,337,92,5.8,0.2,6.0,5.8,0.2,2009,
2,New York Giants,8,8,.500,402,427,-25,-1.6,1.6,0.1,4.6,-4.5,2009,
3,Washington Redskins,4,12,.250,266,336,-70,-4.4,-0.2,-4.6,-5.5,1.0,2009,
4,Minnesota Vikings*,12,4,.750,470,312,158,9.9,-2.7,7.2,6.6,0.6,2009,
5,Green Bay Packers+,11,5,.688,461,297,164,10.3,-2.9,7.4,6.3,1.1,2009,
6,Chicago Bears,7,9,.438,327,375,-48,-3.0,-0.9,-3.9,-1.9,-2.0,2009,
7,Detroit Lions,2,14,.125,262,494,-232,-14.5,0.1,-14.4,-5.2,-9.2,2009,
8,New Orleans Saints*,13,3,.813,510,341,169,10.6,0.2,10.8,11.2,-0.5,2009,
9,Atlanta Falcons,9,7,.563,363,325,38,2.4,2.7,5.0,2.7,2.3,2009,
10,Carolina Panthers,8,8,.500,315,308,7,0.4,3.5,3.9,-0.6,4.5,2009,
11,Tampa Bay Buccaneers,3,13,.188,244,400,-156,-9.8,4.1,-5.6,-4.6,-1.1,2009,
12,Arizona Cardinals*,10,6,.625,375,325,50,3.1,-3.4,-0.3,0.1,-0.4,2009,
13,San Francisco 49ers,8,8,.500,330,281,49,3.1,-3.0,0.1,-2.9,3.0,2009,
14,Seattle Seahawks,5,11,.313,280,390,-110,-6.9,-2.4,-9.3,-5.0,-4.4,2009,
15,St. Louis Rams,1,15,.063,175,436,-261,-16.3,-1.1,-17.4,-11.7,-5.8,2009,
0,Philadelphia Eagles*,10,6,.625,439,377,62,3.9,0.3,4.2,5.4,-1.2,2010,
1,New York Giants,10,6,.625,394,347,47,2.9,-0.8,2.1,1.7,0.4,2010,
2,Dallas Cowboys,6,10,.375,394,436,-42,-2.6,0.5,-2.2,2.5,-4.7,2010,
3,Washington Redskins,6,10,.375,302,377,-75,-4.7,0.9,-3.8,-3.4,-0.5,2010,
4,Chicago Bears*,11,5,.688,334,286,48,3.0,1.1,4.1,-0.6,4.7,2010,
5,Green Bay Packers+,10,6,.625,388,240,148,9.3,1.7,10.9,3.1,7.9,2010,
6,Detroit Lions,6,10,.375,362,369,-7,-0.4,2.3,1.9,2.4,-0.5,2010,
7,Minnesota Vikings,6,10,.375,281,348,-67,-4.2,2.6,-1.6,-3.3,1.7,2010,
8,Atlanta Falcons*,13,3,.813,414,288,126,7.9,-1.8,6.1,3.8,2.2,2010,
9,New Orleans Saints+,11,5,.688,384,307,77,4.8,-2.5,2.3,1.5,0.8,2010,
10,Tampa Bay Buccaneers,10,6,.625,341,318,23,1.4,-2.0,-0.6,-1.0,0.4,2010,
11,Carolina Panthers,2,14,.125,196,408,-212,-13.3,0.1,-13.2,-9.1,-4.1,2010,
12,Seattle Seahawks*,7,9,.438,310,407,-97,-6.1,-3.4,-9.4,-3.9,-5.5,2010,
